umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,botak_prob
42,Laki-laki,PNS,Padang,7864004.983,0,0,61.92868495,152.1741638,Deadbuoy,1,S1,0.487655041
33,Laki-laki,Pegawai swasta,Palangkaraya,6492662.291,0,0,49.37450705,152.8229691,Moonsilk,1,SMA,0.297269869
59,Laki-laki,Freelance,Serang,8086302.916,1,0,59.07280724,159.9110474,Merpati,1,S1,0.467847672
38,Laki-laki,Pegawai swasta,Gorontalo,11473212.56,0,1,68.3380136,162.5589973,Moonsilk,0,S1,0.616417872
33,Perempuan,Freelance,Tanjungselor,14759422.4,0,0,53.76999572,154.5795098,Pantone,1,S2,0.115439478
39,Laki-laki,Pegawai swasta,Manado,10934704.23,0,0,64.68966767,154.1682738,Moonsilk,0,SMA,0.303798835
29,Laki-laki,PNS,Tanjungselor,7669839.485,0,0,88.73878847,164.013914,Shoulder & Head,0,S1,0.257185258
36,Laki-laki,PNS,Jakarta,5268929.601,0,0,55.45260744,159.3570933,Deadbuoy,1,S1,0.367381853
42,Laki-laki,PNS,Mataram,6950608.382,0,0,69.41822192,161.6813402,Deadbuoy,1,SMA,0.491033353
49,Perempuan,PNS,Samarinda,3981735.747,0,0,59.58835737,165.1927106,Merpati,0,S1,0.234170247
36,Perempuan,PNS,Manado,4608562.618,0,1,67.48885242,158.6243583,Merpati,0,SMP,0.439882696
58,Laki-laki,Freelance,Palembang,9222056.284,0,1,70.9370609,170.1182442,Deadbuoy,1,SMP,0.7094456
51,Laki-laki,Pegawai swasta,Semarang,5188498.547,0,0,65.29936508,159.0285432,Shoulder & Head,0,S1,0.372707464
53,Laki-laki,Pegawai swasta,Yogyakarta,9335939.522,0,0,64.94582435,158.6001127,Merpati,0,S1,0.440526658
38,Perempuan,Pegawai swasta,Medan,13916413.98,0,0,54.27218037,159.1214947,Pantone,0,S1,0.134163791
33,Laki-laki,Freelance,Tanjung Pinang,7513333.861,0,0,50.69279138,159.188108,Pantone,0,SMA,0.144862135
18,Perempuan,Freelance,Mamuju,5614776.642,0,0,47.53090293,153.214283,Shoulder & Head,0,SMP,0.007391125
33,Perempuan,Pegawai swasta,Banda Lampung,10153087.58,0,0,54.85848581,160.7471279,Moonsilk,0,S1,0.090729802
41,Laki-laki,PNS,Palembang,16833564.37,0,0,59.10768959,155.2427849,Moonsilk,0,S2,0.385706526
55,Laki-laki,PNS,Serang,11601979.29,0,0,57.92838711,159.7549201,Pantone,1,SMA,0.691404274
36,Perempuan,PNS,Mamuju,7222836.823,0,0,71.8777291,166.4062126,Shoulder & Head,0,S1,0.204893302
29,Laki-laki,PNS,Palembang,8692987.644,0,0,68.89751223,160.6567696,Pantone,0,S1,0.205055597
32,Laki-laki,Pegawai swasta,Palu,5951630.463,0,0,50.43384456,151.3757795,Shoulder & Head,1,S1,0.326225583
28,Laki-laki,PNS,Palangkaraya,4972272.265,0,0,57.2162533,163.2717291,Pantone,1,S1,0.399543878
26,Laki-laki,PNS,Jakarta,8376390.447,0,0,46.02185212,149.4749049,Deadbuoy,1,SMP,0.421225525
30,Laki-laki,Pengangguran,Semarang,6217523.275,0,0,56.12986438,157.5753989,Shoulder & Head,0,SMP,0.541162264
28,Perempuan,Pegawai swasta,Manado,14718961.52,0,0,57.35949063,165.0527762,Pantone,1,S1,0.22808029
